Bone_Region,Classification_Name,Type_Description,Management
3 - Femur,Garden Classification (Femoral Neck),"Type I: Incomplete/impacted valgus; Type II: Complete non-displaced; Type III: Partially displaced; Type IV: Completely displaced.","I-II: Internal fixation (cannulated screws); III-IV: Arthroplasty (hemi or total) in elderly, ORIF in young."
3 - Femur,Vancouver Classification (Periprosthetic Femur),"Type A: Trochanteric; Type B1: Stable stem; Type B2: Loose stem, good bone; Type B3: Loose stem, poor bone; Type C: Distal to stem.","A: ORIF if displaced; B1: ORIF; B2: Revision arthroplasty; B3: Revision with bone graft/special stems; C: ORIF."
3 - Femur,Pipkin Classification (Femoral Head),"Type I: Below fovea; Type II: Above fovea; Type III: + Femoral neck fx; Type IV: + Acetabular fx.","I: Closed reduction or excision; II: ORIF; III: Arthroplasty usually; IV: Address both fractures."
3 - Femur,Pauwels Classification (Femoral Neck),"Type I: <30 deg to horizontal (compression); Type II: 30-50 deg; Type III: >50 deg (shear).","I: Cannulated screws; II: Screws +/- derotation; III: Fixed angle device or arthroplasty."
3 - Femur,Evans-Jensen Classification (Intertrochanteric),"Stable: 2-part, intact posteromedial cortex; Unstable: 3/4-part, comminuted posteromedial cortex or reverse oblique.","Stable: SHS preferred; Unstable: Cephalomedullary IMN preferred."
3 - Femur,Seinsheimer Classification (Subtrochanteric),"Type I: Non-displaced; Type II: 2-part; Type III: 3-part; Type IV: >=4 fragments; Type V: + Intertrochanteric.","I: Non-op/IMN; II-IV: IMN (antegrade) +/- cerclage; V: Cephalomedullary nail."
4 - Tibia / Fibula,Schatzker Classification (Tibial Plateau),"Type I: Lateral plateau wedge; Type II: Lateral wedge/depression; Type III: Pure lateral depression; Type IV: Medial plateau; Type V: Bicondylar; Type VI: Metaphyseal-diaphyseal dissociation.","Type I-III: ORIF if displaced >3mm; Type IV: Often unstable, ORIF; Type V-VI: Complex, dual plating or circular frame."
4 - Tibia / Fibula,Gustilo-Anderson Classification (Open Fractures),"Type I: <1cm clean wound; Type II: 1-10cm wound with moderate tissue damage; Type III: >10cm high-energy wound (IIIA: adequate tissue coverage, IIIB: inadequate tissue coverage/needs flap, IIIC: arterial injury requiring repair).","Type I-II: 1st gen Cephalosporin (e.g. Cefazolin); Type III: 1st gen Ceph + Aminoglycoside; Farm/Soil contamination: Add Penicillin; All Types: Tetanus prophylaxis, emergent I&D, and stabilization."
4 - Tibia / Fibula,Ruedi-Allgower Classification (Tibial Plafond / Pilon),"Type I: Non-displaced cleavage; Type II: Displaced, no significant comminution; Type III: Comminuted with significant impaction.","I: Early ORIF; II: ORIF; III: Staged mandatory (ex-fix then ORIF)."
5 - Spine,AOSpine Thoracolumbar Classification,"Type A: Compression (A0-A4); Type B: Distraction (B1-B3); Type C: Translation/Rotation.","A0-A2: Conservative; A3-A4: Optional surgery; B and C: Surgical stabilization."
6 - Pelvis / Acetabulum,Tile Classification (Pelvic Ring),"Type A: Stable (avulsions); Type B: Rotationally unstable, vertically stable (Open book); Type C: Rotationally and vertically unstable.","Type A: Conservative; Type B: External fixation or anterior plating; Type C: Posterior and anterior stabilization."
6 - Pelvis / Acetabulum,Letournel and Judet Classification (Acetabulum),"Elementary patterns: Posterior wall, Posterior column, Anterior wall, Anterior column, Transverse; Associated patterns: T-shaped, Posterior column + Posterior wall, Transverse + Posterior wall, Anterior column + Posterior hemitransverse, Both columns.","Displaced >2mm: ORIF via Kocher-Langenbeck or Ilioinguinal approaches."
6 - Pelvis / Acetabulum,Young-Burgess Classification (Pelvic Ring),"LC I-III: Lateral compression (I: sacral buckle, II: crescent fx, III: windswept). APC I-III: Anterior-posterior (I: diastasis <2.5cm, II: >2.5cm post intact, III: complete SI disruption). VS: Vertical shear.","LC I/APC I: Non-op; LC II/APC II: Plating/SI screws; LC III/APC III/VS: Emergent fixation/packing, highly unstable."
6 - Pelvis / Acetabulum,Denis Classification (Sacrum),"Zone I: Alar (lateral to foramina); Zone II: Foraminal; Zone III: Central canal.","Zone I: Non-op or percutaneous; Zone II: Fixation, decompress if displaced; Zone III: Urgent decompression + spinopelvic fixation."
6 - Pelvis / Acetabulum,Thompson-Epstein Classification (Hip Dislocation),"Type I: Pure dislocation/minor wall; Type II: + single large posterior wall; Type III: + comminuted wall; Type IV: + acetabular dome; Type V: + femoral head fx.","I: Urgent closed reduction; II-IV: Closed reduction then ORIF if unstable; V: Depends on Pipkin."
7 - Hand,Thumb Metacarpal Fractures,"Bennett: Intraarticular 2-part; Rolando: Intraarticular comminuted (3-part); Extraarticular.","Bennett: Closed reduction and percutaneous pinning (CRPP); Rolando: ORIF or external fixation."
8 - Foot,Hawkins Classification (Talar Neck),"Type I: Non-displaced; Type II: Displaced with STJ subluxation; Type III: Displaced with STJ and Ankle subluxation; Type IV: Type III + Talonavicular subluxation.","I: Cast NWB; II-IV: Emergency ORIF to prevent AVN."
8 - Foot,Sanders Classification (Calcaneus CT),"Type I: Non-displaced; Type II: 2-fragment articular; Type III: 3-fragment articular; Type IV: >=4 fragments highly comminuted.","I: Non-op; II: ORIF; III: ORIF (young) or arthrodesis (elderly); IV: Primary subtalar arthrodesis."
9 - Ankle,Danis-Weber Classification (Ankle),"Type A: Infrasyndesmotic; Type B: Transsyndesmotic; Type C: Suprasyndesmotic.","Type A: Non-op if no medial injury; Type B: Non-op if stable, ORIF if unstable; Type C: ORIF + syndesmotic fixation always."
9 - Ankle,Lauge-Hansen Classification (Ankle),"SAD: Stage I: Lateral malleolus avulsion, Stage II: Vertical medial malleolus fx; SER: Stage I: AITFL sprain, Stage II: Spiral fibula fx, Stage III: PITFL sprain, Stage IV: Transverse medial malleolus fx; PAB: Stage I: Medial malleolus fx, Stage II: Syndesmosis injury, Stage III: Short oblique fibula fx; PER: Stage I: Medial malleolus fx, Stage II: AITFL injury, Stage III: High fibula fx, Stage IV: Posterior malleolus fx.","SAD: ORIF medial (vertical fx); SER: Non-op if stage II stable, ORIF if IV; PAB/PER: ORIF medial + lateral +/- syndesmosis."
10 - Scapula,Nerot Classification (Scapular Notching),"Grade 0: No notch; Grade 1: Small notch; Grade 2: Notch condensation (stable); Grade 3: Evolutive notch; Grade 4: First glenoid loosening.","Grades 1-2: Observation; Grades 3-4: Consider revision to reverse total shoulder arthroplasty, structural or nonstructural bone grafting."
11 - Clavicle,Allman Classification,"Group I: Midshaft (most common); Group II: Distal third; Group III: Proximal third.","I: Sling (surgery if shortened >2cm); II: Often requires surgery (high nonunion); III: Sling."
11 - Clavicle,Neer Classification (Distal Clavicle),"Type I: Lateral to CC ligaments; Type IIA: Both CC attached to distal fragment; Type IIB: Conoid torn; Type III: Intra-articular; Type IV: Periosteal sleeve; Type V: Comminuted.","I/III: Non-operative; IIA/IIB/V: ORIF (hook plate/CC repair); IV: ORIF."
12 - Patella,Patellar Fracture Classification,"Stellate (comminuted), Transverse, Vertical, Polar (superior/inferior).","Displaced >2-3mm or extensor lag: Tension band wiring or partial patellectomy."
14 - Knee,Schenck Classification (Knee Dislocation),"KD I: Single ligament; KD II: ACL + PCL; KD IIIM: Cruciates + Medial; KD IIIL: Cruciates + Lateral; KD IV: All 4 ligaments; KD V: + Periarticular fx.","KD I: Non-op/single repair; KD II-IV: Multi-ligament reconstruction; KD V: Address fracture then ligaments."
